"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","WDF2","WDF5","WSF2","WSF5"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-19","5.82"," 1440"," 2137","0.00","0.0","  110","  230","17.0","21.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-20","7.61"," 1217"," 1217","0.00","0.0","  240","  260","19.9","30.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-21","9.62"," 1327"," 1246","0.00","0.0","   70","   70","19.9","23.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-22","8.28"," 0522",,"0.08","0.0","   50",,"14.1",
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-23","15.88"," 0417"," 0416","2.22","0.0","   30","   30","28.0","32.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-24","17.00"," 1410"," 1554","0.02","0.0","  320","  300","31.1","40.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-25","11.63"," 1409"," 1408","0.00","0.0","  220","  220","25.9","32.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-26","13.42"," 0647"," 0645","0.17","0.0","  330","  330","25.1","32.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-27","12.08"," 0401"," 0314","0.00","0.0","   10","   20","19.9","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-28","10.74"," 1630"," 1707","0.00","0.0","  170","  150","21.0","28.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-29","12.30"," 0857"," 0839","1.96","0.0","  170","  160","30.0","38.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-30","20.58"," 0716"," 1342","2.93","0.0","   40","   60","34.9","40.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-03-31","7.83"," 1627"," 1834","0.04","0.0","   30","   60","13.0","19.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-01","7.61"," 0544"," 0551","0.00","0.0","   10","   20","17.0","21.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-02","6.93"," 1616"," 0709","0.00","0.0","   90","   90","15.0","23.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-03","10.74"," 1805"," 1556","0.00","0.0","  210","  170","21.9","25.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-04","11.41"," 1758"," 1543","0.00","0.0","  270","  290","17.0","25.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-05","10.07"," 1428"," 1428","0.00","0.0","  210","  210","25.1","29.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-06","6.71"," 1513"," 1513","0.00","0.0","  100","   90","16.1","19.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-07","8.72"," 1227"," 1152","0.00","0.0","  240","  250","23.9","33.1"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-08","10.07"," 1622"," 1622","0.00","0.0","   70","   70","21.0","23.9"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-09","8.50"," 1818"," 2059","0.88","0.0","  320","  280","23.9","32.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-10","15.66"," 1114"," 0944","0.00","0.0","  280","  270","25.9","36.0"
"USW00014739","BOSTON, MA US","42.3606","-71.0097","3.7","2010-04-11","12.30"," 1223"," 1324","0.00","0.0","  290","  310","25.1","34.9"
