"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","WDF2","WDF5","WSF2","WSF5"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-10","9.84"," 0054"," 0225","0.00","0.0","0.0","  300","  310","17.9","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-11","6.71"," 2158"," 0143","0.00","0.0","0.0","   30","  240","13.0","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-12","5.37"," 2237"," 2236","0.00","0.0","0.0","  260","  260","13.0","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-13","4.92"," 0737"," 0654","0.00","0.0","0.0","   60","   70","13.0","17.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-14","5.14"," 1321"," 1103","0.00","0.0","0.0","   50","   60","12.1","17.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-15","6.71"," 2038"," 2111","0.00","0.0","0.0","   80","   60","16.1","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-16","7.38"," 1750"," 0741","0.31","0.0","0.0","   80","  140","14.1","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-17","6.71"," 1520"," 1646","0.01","0.0","0.0","  270","  260","15.0","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-18","7.16"," 1506"," 1506","0.00","0.0","0.0","  300","  290","16.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-19","6.93"," 1154"," 1248","0.00","0.0","0.0","  290","  290","15.0","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-20","4.92"," 2325"," 2324","0.00","0.0","0.0","  230","  230","12.1","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-21","6.71"," 1608"," 1607","0.03","0.0","0.0","  190","  190","17.9","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-22","5.82"," 1706"," 1433","0.00","0.0","0.0","  270","  260","15.0","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-23","6.49"," 1455"," 1453","0.00","0.0","0.0","  280","  280","16.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-24","5.59"," 2228"," 1543","0.00","0.0","0.0","  230","  170","13.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-25","6.93"," 2135"," 2034","1.60","0.0","0.0","   40","   60","15.0","21.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-26","8.05"," 2216"," 2324","0.69","0.0","0.0","   60","   60","17.0","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-27","7.38"," 1752"," 1751","0.05","0.0","0.0","  290","  290","19.9","29.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2010-04-28","9.62"," 1626"," 1500","0.00","0.0","0.0","  300","  300","21.0","36.0"
