"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","WDF2","WDF5","WSF2","WSF5"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-09","17.00"," 0641","0.00","  270","  280","29.1","42.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-10","6.71"," 1507","0.00","  290","  290","18.1","29.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-11","5.37"," 1300","0.00","  220","   70","16.1","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-12","2.46"," 0917","0.00","  190","  220","12.1","16.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-13","5.59"," 1419","0.00","  210","  210","19.9","23.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-14","6.26"," 1817","0.03","  200","  210","14.1","17.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-15","6.93"," 0940","0.01","  290","  290","23.0","32.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-16","3.80"," 1406","0.00","  290","  290","16.1","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-17","4.92"," 1154","0.00","  140","  140","16.1","19.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-18","7.38"," 2055","0.94","   40","   40","17.0","25.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-19","5.82"," 0014","0.18","   40","   60","18.1","25.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-20","6.04"," 1538","0.01","  210","  210","18.1","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-21","5.82"," 1600","0.00","  140","  140","16.1","18.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-22","6.93"," 1433","0.00","  150","  150","14.1","16.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-23","4.47"," 1358","0.00","  130","  140","13.0","15.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-24","4.70"," 1309","0.00","  210","  170","14.1","19.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-25","6.71"," 1623","0.00","  220","  210","18.1","25.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-26","6.49"," 2315","0.06","   50","   50","19.9","23.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-27","6.49"," 0210","0.16","   60","   60","16.1","21.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-28","4.92"," 1314","0.00","  140","  140","14.1","18.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-29","9.62"," 1659","0.19","  220","  240","19.9","28.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-30","6.71"," 1808","0.00","  280","  300","17.0","23.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-05-31","5.82"," 1458","0.00","  140","  150","16.1","19.9"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-06-01","9.62"," 1249","0.16","  210","  220","25.9","33.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-06-02","5.82"," 1658","0.01","  140","  140","15.0","18.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-06-03","8.28"," 1509","0.01","  210","  200","19.9","25.1"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-06-04","5.14"," 1413","0.00","  160","  140","14.1","17.0"
"USW00094726","NEW BEDFORD MUNICIPAL AIRPORT, MA US","41.67639","-70.95833","24.4","2010-06-05","7.83"," 0924","1.01","  200","  210","15.0","17.0"
